SMILES,Comp1,Act1,Assay1,Type1,Comp2,Act2,Assay2,Type2,log(ActRatio)
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CCC(=O)NC)C5CC5)Cl,CHEMBL1269683,8900,CHEMBL1275130,ic50,CHEMBL1269682,6000,CHEMBL1275130,ic50,0.1712387563
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CCNC(=O)C)C5CC5)Cl,CHEMBL1269682,0.18,CHEMBL1275121,ic50,CHEMBL1269683,0.11,CHEMBL1275121,ic50,0.2138798199
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CCNC(=O)C)C5CC5)Cl,CHEMBL1269682,1.4,CHEMBL1275122,ic50,CHEMBL1269683,1.9,CHEMBL1275122,ic50,-0.132625565
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CCNC(=O)C)C5CC5)Cl,CHEMBL1269682,2400,CHEMBL1275129,ic50,CHEMBL1269683,2900,CHEMBL1275129,ic50,-0.082186756
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CCNC(=O)C)C5CC5)Cl,CHEMBL1269682,6000,CHEMBL1275130,ic50,CHEMBL1269683,8900,CHEMBL1275130,ic50,-0.171238756
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CNC(=O)C)C5CC5)Cl,CHEMBL1269687,0.16,CHEMBL1275121,ic50,CHEMBL1269688,0.11,CHEMBL1275121,ic50,0.1627272975
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CNC(=O)C)C5CC5)Cl,CHEMBL1269687,4.1,CHEMBL1275122,ic50,CHEMBL1269688,3.4,CHEMBL1275122,ic50,0.0813049397
Cc1cc(c2cc1-c3cc(nc(n3)N)SCCC(=O)NCCCNC2=O)C,CHEMBL1939379,0.52,CHEMBL1944310,kd,CHEMBL1939383,0.65,CHEMBL1944310,kd,-0.096910013
Cc1cc(c2cc1-c3cc(nc(n3)N)SCCC(=O)NCCCNC2=O)C,CHEMBL1939379,150,CHEMBL1944309,ic50,CHEMBL1939383,650,CHEMBL1944309,ic50,-0.636822098
Cc1cc(c2cc1-c3cc(nc(n3)N)SCCC(=O)NCCCNC2=O)C,CHEMBL1939379,66,CHEMBL1944311,ic50,CHEMBL1939383,150,CHEMBL1944311,ic50,-0.356547324
Cc1cc(c2cc1-c3cc(nc(n3)N)SCCNC(=O)CCCNC2=O)C,CHEMBL1939383,0.65,CHEMBL1944310,kd,CHEMBL1939379,0.52,CHEMBL1944310,kd,0.096910013
Cc1cc(c2cc1-c3cc(nc(n3)N)SCCNC(=O)CCCNC2=O)C,CHEMBL1939383,150,CHEMBL1944311,ic50,CHEMBL1939379,66,CHEMBL1944311,ic50,0.3565473235
Cc1cc(c2cc1-c3cc(nc(n3)N)SCCNC(=O)CCCNC2=O)C,CHEMBL1939383,650,CHEMBL1944309,ic50,CHEMBL1939379,150,CHEMBL1944309,ic50,0.6368220976
Cc1ccc(cc1C)CCCC(=O)NCc2ccc(c(c2)OC)O,CHEMBL254713,57170,CHEMBL928492,ic50,CHEMBL327228,25090,CHEMBL928492,ic50,0.3576675309
Cc1ccc(cc1C)CCCNC(=O)Cc2ccc(c(c2)OC)O,CHEMBL327228,25090,CHEMBL928492,ic50,CHEMBL254713,57170,CHEMBL928492,ic50,-0.357667531
c1ccc(cc1)C(CC(=O)NCc2cc(cc(c2)C(F)(F)F)C(F)(F)F)c3ccccc3,CHEMBL289728,235,CHEMBL751717,ic50,CHEMBL40944,378,CHEMBL751717,ic50,-0.206423938
c1ccc(cc1)C(CNC(=O)Cc2cc(cc(c2)C(F)(F)F)C(F)(F)F)c3ccccc3,CHEMBL40944,378,CHEMBL751717,ic50,CHEMBL289728,235,CHEMBL751717,ic50,0.2064239376
