SMILES,Comp1,Act1,Assay1,Type1,Comp2,Act2,Assay2,Type2,log(ActRatio)
CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCC(=O)NC2)c3cccc(c3)C(C)(C)C)O,CHEMBL566810,180,CHEMBL1045212,ic50,CHEMBL570298,330,CHEMBL1045212,ic50,-0.263241435
CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCC(=O)NC2)c3cccc(c3)C(C)(C)C)O,CHEMBL566810,47,CHEMBL1045211,ic50,CHEMBL570298,18,CHEMBL1045211,ic50,0.4168253528
CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCC(=O)NC2)c3cccc(c3)C(C)(C)C)O,CHEMBL566810,47,CHEMBL1045211,ic50,CHEMBL570298,19,CHEMBL1045211,ic50,0.393344257
CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCNC(=O)C2)c3cccc(c3)C(C)(C)C)O,CHEMBL570298,1100,CHEMBL1045212,ic50,CHEMBL566810,180,CHEMBL1045212,ic50,0.7861201801
CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCNC(=O)C2)c3cccc(c3)C(C)(C)C)O,CHEMBL570298,18,CHEMBL1045211,ic50,CHEMBL566810,47,CHEMBL1045211,ic50,-0.416825353
CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCNC(=O)C2)c3cccc(c3)C(C)(C)C)O,CHEMBL570298,19,CHEMBL1045211,ic50,CHEMBL566810,47,CHEMBL1045211,ic50,-0.393344257
CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCNC(=O)C2)c3cccc(c3)C(C)(C)C)O,CHEMBL570298,330,CHEMBL1045212,ic50,CHEMBL566810,180,CHEMBL1045212,ic50,0.2632414348
CC(C)(C)c1ccc(cc1)CC(=O)NCc2ccc(cc2)NS(=O)(=O)C,CHEMBL186726,5220,CHEMBL876782,ki,CHEMBL185683,2100,CHEMBL876782,ki,0.3954512083
CC(C)(C)c1ccc(cc1)CC(=O)NCc2ccc(cc2)NS(=O)(=O)C,CHEMBL186726,6760,CHEMBL828080,ki,CHEMBL185683,398,CHEMBL828080,ki,1.2300636239
CC(C)(C)c1ccc(cc1)CNC(=O)Cc2ccc(cc2)NS(=O)(=O)C,CHEMBL185683,2100,CHEMBL876782,ki,CHEMBL186726,5220,CHEMBL876782,ki,-0.395451208
